
START dramblast {

START Insert TEST {
#           time             counts unit events
     1.001429257        995,349,207      umc_cas_cmd.all                  #  63702.3 MB/s  umc_mem_bandwidth   
   119.273425473      5,282,584,482      umc_cas_cmd.all                  # 338085.4 MB/s  umc_mem_bandwidth   
   119.273425473      1,002,961,726 ns   duration_time                                                         
   120.274461459      5,326,152,399      umc_cas_cmd.all                  # 340873.8 MB/s  umc_mem_bandwidth   
   120.274461459      1,001,035,986 ns   duration_time                                                         
   121.277429845      5,230,941,377      umc_cas_cmd.all                  # 334780.2 MB/s  umc_mem_bandwidth   
   121.277429845      1,002,968,386 ns   duration_time                                                         
   122.278461771      5,260,500,851      umc_cas_cmd.all                  # 336672.1 MB/s  umc_mem_bandwidth   
   122.278461771      1,001,031,926 ns   duration_time                                                         
   123.281462217      5,293,267,828      umc_cas_cmd.all                  # 338769.1 MB/s  umc_mem_bandwidth   
   123.281462217      1,003,000,446 ns   duration_time                                                         
   124.284445962      5,338,869,737      umc_cas_cmd.all                  # 341687.7 MB/s  umc_mem_bandwidth   
   124.284445962      1,002,983,745 ns   duration_time                                                         
   125.287062736      5,264,775,304      umc_cas_cmd.all                  # 336945.6 MB/s  umc_mem_bandwidth   
   125.287062736      1,002,616,774 ns   duration_time                                                         
   126.290440174      5,319,365,796      umc_cas_cmd.all                  # 340439.4 MB/s  umc_mem_bandwidth   
   126.290440174      1,003,377,438 ns   duration_time                                                         
   127.296463745      5,319,464,593      umc_cas_cmd.all                  # 340445.7 MB/s  umc_mem_bandwidth   
   127.296463745      1,006,023,571 ns   duration_time                                                         
   128.297461551      5,369,690,630      umc_cas_cmd.all                  # 343660.2 MB/s  umc_mem_bandwidth   
   128.297461551      1,000,997,806 ns   duration_time                                                         
   129.298456197      5,281,955,841      umc_cas_cmd.all                  # 338045.2 MB/s  umc_mem_bandwidth   
   129.298456197      1,000,994,646 ns   duration_time                                                         
   130.301442463      5,301,377,805      umc_cas_cmd.all                  # 339288.2 MB/s  umc_mem_bandwidth   
   130.301442463      1,002,986,266 ns   duration_time                                                         
#           time             counts unit events
   131.303459084      5,251,370,452      umc_cas_cmd.all                  # 336087.7 MB/s  umc_mem_bandwidth   
   131.303459084      1,002,016,621 ns   duration_time                                                         
   132.306444910      5,331,892,708      umc_cas_cmd.all                  # 341241.1 MB/s  umc_mem_bandwidth   
   132.306444910      1,002,985,826 ns   duration_time                                                         
   133.308452160      5,344,477,429      umc_cas_cmd.all                  # 342046.6 MB/s  umc_mem_bandwidth   
   133.308452160      1,002,007,250 ns   duration_time                                                         
   134.312438951      5,205,539,714      umc_cas_cmd.all                  # 333154.5 MB/s  umc_mem_bandwidth   
   134.312438951      1,003,986,791 ns   duration_time                                                         
   135.314078640      5,284,678,023      umc_cas_cmd.all                  # 338219.4 MB/s  umc_mem_bandwidth   
   135.314078640      1,001,639,689 ns   duration_time                                                         
   136.319434028      5,275,625,500      umc_cas_cmd.all                  # 337640.0 MB/s  umc_mem_bandwidth   
   136.319434028      1,005,355,388 ns   duration_time                                                         
   137.320460694      5,182,182,406      umc_cas_cmd.all                  # 331659.7 MB/s  umc_mem_bandwidth   
   137.320460694      1,001,026,666 ns   duration_time                                                         
   138.321456110      5,151,560,580      umc_cas_cmd.all                  # 329699.9 MB/s  umc_mem_bandwidth   
   138.321456110      1,000,995,416 ns   duration_time                                                         
   139.324504976      5,358,810,005      umc_cas_cmd.all                  # 342963.8 MB/s  umc_mem_bandwidth   
   139.324504976      1,003,048,866 ns   duration_time                                                         
   140.327464731      5,226,184,185      umc_cas_cmd.all                  # 334475.8 MB/s  umc_mem_bandwidth   
   140.327464731      1,002,959,755 ns   duration_time                                                         
   141.333043350      5,305,746,409      umc_cas_cmd.all                  # 339567.8 MB/s  umc_mem_bandwidth   
   141.333043350      1,005,578,619 ns   duration_time                                                         
   142.334460348      5,389,363,020      umc_cas_cmd.all                  # 344919.2 MB/s  umc_mem_bandwidth   
   142.334460348      1,001,416,998 ns   duration_time                                                         
   143.336448629      5,309,424,905      umc_cas_cmd.all                  # 339803.2 MB/s  umc_mem_bandwidth   
   143.336448629      1,001,988,281 ns   duration_time                                                         
   144.340441950      5,308,574,329      umc_cas_cmd.all                  # 339748.8 MB/s  umc_mem_bandwidth   
   144.340441950      1,003,993,321 ns   duration_time                                                         
   145.341453976      5,266,684,781      umc_cas_cmd.all                  # 337067.8 MB/s  umc_mem_bandwidth   
   145.341453976      1,001,012,026 ns   duration_time                                                         
   146.345441346      5,245,588,493      umc_cas_cmd.all                  # 335717.7 MB/s  umc_mem_bandwidth   
   146.345441346      1,003,987,370 ns   duration_time                                                         
   147.347465708      5,281,436,814      umc_cas_cmd.all                  # 338012.0 MB/s  umc_mem_bandwidth   
   147.347465708      1,002,024,362 ns   duration_time                                                         
   148.350440863      5,187,170,880      umc_cas_cmd.all                  # 331978.9 MB/s  umc_mem_bandwidth   
   148.350440863      1,002,975,155 ns   duration_time                                                         
   149.351459159      5,301,014,999      umc_cas_cmd.all                  # 339265.0 MB/s  umc_mem_bandwidth   
   149.351459159      1,001,018,296 ns   duration_time                                                         
   150.356458915      5,350,743,048      umc_cas_cmd.all                  # 342447.6 MB/s  umc_mem_bandwidth   
   150.356458915      1,004,999,756 ns   duration_time                                                         
   151.357455781      5,122,907,786      umc_cas_cmd.all                  # 327866.1 MB/s  umc_mem_bandwidth   
   151.357455781      1,000,996,866 ns   duration_time                                                         
   152.360438407      5,168,772,022      umc_cas_cmd.all                  # 330801.4 MB/s  umc_mem_bandwidth   
   152.360438407      1,002,982,626 ns   duration_time                                                         
   153.364697629      5,163,674,237      umc_cas_cmd.all                  # 330475.2 MB/s  umc_mem_bandwidth   
   153.364697629      1,004,259,222 ns   duration_time                                                         
   154.367456903      5,195,176,961      umc_cas_cmd.all                  # 332491.3 MB/s  umc_mem_bandwidth   
   154.367456903      1,002,759,274 ns   duration_time                                                         
   155.368445779      4,329,101,051      umc_cas_cmd.all                  # 277062.5 MB/s  umc_mem_bandwidth   
   155.368445779      1,000,988,876 ns   duration_time                                                         
} END FIND TEST

   156.370097618      3,457,587,515      umc_cas_cmd.all                  # 221285.6 MB/s  umc_mem_bandwidth   
   156.370097618      1,001,651,839 ns   duration_time                                                         
#           time             counts unit events
   157.371568541      1,398,255,101      umc_cas_cmd.all                  #  89488.3 MB/s  umc_mem_bandwidth   
   157.371568541      1,001,470,923 ns   duration_time                                                         
   158.372958466      1,002,255,921      umc_cas_cmd.all                  #  64144.4 MB/s  umc_mem_bandwidth   
   158.372958466      1,001,389,925 ns   duration_time                                                         
   159.374311871        918,642,304      umc_cas_cmd.all                  #  58793.1 MB/s  umc_mem_bandwidth   
   159.374311871      1,001,353,405 ns   duration_time                                                         
   160.375734296        881,451,684      umc_cas_cmd.all                  #  56412.9 MB/s  umc_mem_bandwidth   
   160.375734296      1,001,422,425 ns   duration_time                                                         
   161.377101371        826,162,854      umc_cas_cmd.all                  #  52874.4 MB/s  umc_mem_bandwidth   
   161.377101371      1,001,367,075 ns   duration_time                                                         
   162.378490666        665,952,606      umc_cas_cmd.all                  #  42621.0 MB/s  umc_mem_bandwidth   
   162.378490666      1,001,389,295 ns   duration_time                                                         
   163.380200703        259,852,891      umc_cas_cmd.all                  #  16630.6 MB/s  umc_mem_bandwidth   
   163.380200703      1,001,710,037 ns   duration_time                                                         
   164.381592308        195,718,911      umc_cas_cmd.all                  #  12526.0 MB/s  umc_mem_bandwidth   
   164.381592308      1,001,391,605 ns   duration_time                                                         
   164.659744339         96,426,061      umc_cas_cmd.all                  #   6171.3 MB/s  umc_mem_bandwidth   
   164.659744339        278,152,031 ns   duration_time                                                         
START uniform test {
{ set_cycles : 114, get_cycles : 35, set_mops : 1824.191, get_mops : 5924.708 }
/opt/dramhit-fork/build/dramhit --perf_cnt_path ./perf_cnt.txt --perf_def_path ./perf-cpp/perf_list.csv --find_queue 64 --ht-fill 10 --ht-type 3 --insert-factor 1000 --read-factor 1000 --num-threads 64 --numa-split 6 --no-prefetch 0 --mode 11 --ht-size 536870912 --skew 0.01 --hw-pref 0 --batch-len 16 --relation_r_size 375809638
{ set_cycles : 114, get_cycles : 37, set_mops : 1811.925, get_mops : 5594.189 }
/opt/dramhit-fork/build/dramhit --perf_cnt_path ./perf_cnt.txt --perf_def_path ./perf-cpp/perf_list.csv --find_queue 64 --ht-fill 20 --ht-type 3 --insert-factor 1000 --read-factor 1000 --num-threads 64 --numa-split 6 --no-prefetch 0 --mode 11 --ht-size 536870912 --skew 0.01 --hw-pref 0 --batch-len 16 --relation_r_size 375809638
