
START dramblast {

START Insert TEST {
#           time             counts unit events
     1.001923346        646,493,440      umc_cas_cmd.all                  #  41375.6 MB/s  umc_mem_bandwidth   
    74.174530427      1,001,562,018 ns   duration_time                                                         
    75.175946124      4,360,328,671      umc_cas_cmd.all                  # 279061.0 MB/s  umc_mem_bandwidth   
    75.175946124      1,001,415,697 ns   duration_time                                                         
    76.177933484      4,384,892,823      umc_cas_cmd.all                  # 280633.1 MB/s  umc_mem_bandwidth   
    76.177933484      1,001,987,360 ns   duration_time                                                         
    77.181941423      4,380,005,995      umc_cas_cmd.all                  # 280320.4 MB/s  umc_mem_bandwidth   
    77.181941423      1,004,007,939 ns   duration_time                                                         
    78.183511190      4,366,408,367      umc_cas_cmd.all                  # 279450.1 MB/s  umc_mem_bandwidth   
    78.183511190      1,001,569,767 ns   duration_time                                                         
#           time             counts unit events
    79.184945888      4,366,115,523      umc_cas_cmd.all                  # 279431.4 MB/s  umc_mem_bandwidth   
    79.184945888      1,001,434,698 ns   duration_time                                                         
    80.186933987      4,393,255,115      umc_cas_cmd.all                  # 281168.3 MB/s  umc_mem_bandwidth   
    80.186933987      1,001,988,099 ns   duration_time                                                         
    81.190522665      4,346,643,030      umc_cas_cmd.all                  # 278185.2 MB/s  umc_mem_bandwidth   
    81.190522665      1,003,588,678 ns   duration_time                                                         
    82.192508274      4,337,810,017      umc_cas_cmd.all                  # 277619.8 MB/s  umc_mem_bandwidth   
    82.192508274      1,001,985,609 ns   duration_time                                                         
    83.195974651      4,354,977,856      umc_cas_cmd.all                  # 278718.6 MB/s  umc_mem_bandwidth   
    83.195974651      1,003,466,377 ns   duration_time                                                         
    84.197518039      4,344,781,185      umc_cas_cmd.all                  # 278066.0 MB/s  umc_mem_bandwidth   
    84.197518039      1,001,543,388 ns   duration_time                                                         
    85.200981285      4,351,307,656      umc_cas_cmd.all                  # 278483.7 MB/s  umc_mem_bandwidth   
    85.200981285      1,003,463,246 ns   duration_time                                                         
    86.202979755      4,364,474,777      umc_cas_cmd.all                  # 279326.4 MB/s  umc_mem_bandwidth   
    86.202979755      1,001,998,470 ns   duration_time                                                         
    87.209941678      4,358,593,214      umc_cas_cmd.all                  # 278950.0 MB/s  umc_mem_bandwidth   
    87.209941678      1,006,961,923 ns   duration_time                                                         
    88.211488996      4,355,411,906      umc_cas_cmd.all                  # 278746.4 MB/s  umc_mem_bandwidth   
    88.211488996      1,001,547,318 ns   duration_time                                                         
    89.212947503      4,325,797,939      umc_cas_cmd.all                  # 276851.1 MB/s  umc_mem_bandwidth   
    89.212947503      1,001,458,507 ns   duration_time                                                         
    90.214533401      4,334,358,830      umc_cas_cmd.all                  # 277399.0 MB/s  umc_mem_bandwidth   
    90.214533401      1,001,585,898 ns   duration_time                                                         
    91.217951828      4,330,584,742      umc_cas_cmd.all                  # 277157.4 MB/s  umc_mem_bandwidth   
    91.217951828      1,003,418,427 ns   duration_time                                                         
    92.222945581      4,351,487,185      umc_cas_cmd.all                  # 278495.2 MB/s  umc_mem_bandwidth   
    92.222945581      1,004,993,753 ns   duration_time                                                         
    93.224499099      4,315,210,484      umc_cas_cmd.all                  # 276173.5 MB/s  umc_mem_bandwidth   
    93.224499099      1,001,553,518 ns   duration_time                                                         
    94.225954286      4,342,200,642      umc_cas_cmd.all                  # 277900.8 MB/s  umc_mem_bandwidth   
    94.225954286      1,001,455,187 ns   duration_time                                                         
    95.227523904      4,338,624,111      umc_cas_cmd.all                  # 277671.9 MB/s  umc_mem_bandwidth   
    95.227523904      1,001,569,618 ns   duration_time                                                         
    96.229962156      4,336,273,315      umc_cas_cmd.all                  # 277521.5 MB/s  umc_mem_bandwidth   
    96.229962156      1,002,438,252 ns   duration_time                                                         
